     1   -0.75157781E+0001   -0.61491271E+0001   -0.53158769E+0001   -0.11175565E+0002   -0.62077100E+0001   -0.64139488E+0001   -0.61423318E+0001   -0.61350558E+0001   -0.11925227E+0002   -0.61681831E+0001   -0.60742570E+0001   -0.83616821E+0001   -0.89135631E+0001   -0.82650822E+0001   -0.89843373E+0001   -0.88835100E+0001   -0.88868324E+0001   -0.88743778E+0001   -0.89096736E+0001   -0.61546917E+0001   -0.61454238E+0001   -0.11741858E+0002   -0.11853122E+0002   -0.62064614E+0001   -0.62154019E+0001   -0.61734489E+0001   -0.61911038E+0001   -0.60817199E+0001   -0.11871708E+0002   -0.61202756E+0001   -0.61229574E+0001   -0.11783336E+0002   -0.61234411E+0001   -0.61282089E+0001   -0.61227812E+0001   -0.60244487E+0001   -0.57156106E+0001   -0.67769176E+0001   -0.42603099E+0001
    50   -0.75157902E+0001   -0.61489077E+0001   -0.53159995E+0001   -0.11174511E+0002   -0.62076901E+0001   -0.64143335E+0001   -0.61420442E+0001   -0.61354319E+0001   -0.11926012E+0002   -0.61680952E+0001   -0.60742802E+0001   -0.83608570E+0001   -0.89142663E+0001   -0.82645969E+0001   -0.89840242E+0001   -0.88837257E+0001   -0.88870282E+0001   -0.88743103E+0001   -0.89089519E+0001   -0.61553520E+0001   -0.61454687E+0001   -0.11742366E+0002   -0.11853546E+0002   -0.62061679E+0001   -0.62160382E+0001   -0.61727889E+0001   -0.61916710E+0001   -0.60814250E+0001   -0.11872318E+0002   -0.61199358E+0001   -0.61229644E+0001   -0.11782840E+0002   -0.61243427E+0001   -0.61280632E+0001   -0.61224904E+0001   -0.60250310E+0001   -0.57156561E+0001   -0.67766054E+0001   -0.42598893E+0001
   100   -0.75156738E+0001   -0.61482123E+0001   -0.53159648E+0001   -0.11161523E+0002   -0.62084274E+0001   -0.64180784E+0001   -0.61417576E+0001   -0.61347110E+0001   -0.11928607E+0002   -0.61692596E+0001   -0.60740222E+0001   -0.83568010E+0001   -0.89142700E+0001   -0.82618785E+0001   -0.89829685E+0001   -0.88813762E+0001   -0.88863287E+0001   -0.88740813E+0001   -0.89085147E+0001   -0.61577004E+0001   -0.61461570E+0001   -0.11746167E+0002   -0.11857510E+0002   -0.62051901E+0001   -0.62177378E+0001   -0.61708381E+0001   -0.61887074E+0001   -0.60816581E+0001   -0.11877129E+0002   -0.61193145E+0001   -0.61246473E+0001   -0.11787362E+0002   -0.61260493E+0001   -0.61274682E+0001   -0.61220108E+0001   -0.60238593E+0001   -0.57177351E+0001   -0.67755254E+0001   -0.42560546E+0001
   150   -0.75156069E+0001   -0.61472132E+0001   -0.53129683E+0001   -0.11164567E+0002   -0.62079472E+0001   -0.64188242E+0001   -0.61415799E+0001   -0.61341642E+0001   -0.11925282E+0002   -0.61685897E+0001   -0.60741845E+0001   -0.83580256E+0001   -0.89164307E+0001   -0.82605767E+0001   -0.89821503E+0001   -0.88823948E+0001   -0.88876248E+0001   -0.88739842E+0001   -0.89082136E+0001   -0.61573765E+0001   -0.61449776E+0001   -0.11740757E+0002   -0.11857233E+0002   -0.62061612E+0001   -0.62200315E+0001   -0.61706552E+0001   -0.61888969E+0001   -0.60847591E+0001   -0.11877459E+0002   -0.61197342E+0001   -0.61273578E+0001   -0.11781755E+0002   -0.61241069E+0001   -0.61278039E+0001   -0.61231801E+0001   -0.60242776E+0001   -0.57189258E+0001   -0.67760752E+0001   -0.42568184E+0001
   200   -0.75154655E+0001   -0.61504567E+0001   -0.53078765E+0001   -0.11175174E+0002   -0.62070987E+0001   -0.64140075E+0001   -0.61435265E+0001   -0.61316961E+0001   -0.11927978E+0002   -0.61682374E+0001   -0.60699645E+0001   -0.83507249E+0001   -0.89136633E+0001   -0.82638743E+0001   -0.89867906E+0001   -0.88846460E+0001   -0.88841193E+0001   -0.88789452E+0001   -0.89071644E+0001   -0.61596343E+0001   -0.61411378E+0001   -0.11748424E+0002   -0.11854279E+0002   -0.62071217E+0001   -0.62207736E+0001   -0.61670375E+0001   -0.61875350E+0001   -0.60889126E+0001   -0.11874724E+0002   -0.61185713E+0001   -0.61286663E+0001   -0.11779710E+0002   -0.61259843E+0001   -0.61283039E+0001   -0.61200098E+0001   -0.60229121E+0001   -0.57139291E+0001   -0.67760142E+0001   -0.42580649E+0001
   250   -0.75154055E+0001   -0.61496144E+0001   -0.53102883E+0001   -0.11175918E+0002   -0.62066859E+0001   -0.64110061E+0001   -0.61456369E+0001   -0.61306680E+0001   -0.11928644E+0002   -0.61681058E+0001   -0.60700703E+0001   -0.83499794E+0001   -0.89129427E+0001   -0.82611615E+0001   -0.89903094E+0001   -0.88833011E+0001   -0.88825892E+0001   -0.88760848E+0001   -0.89036610E+0001   -0.61604272E+0001   -0.61424722E+0001   -0.11749780E+0002   -0.11859228E+0002   -0.62064187E+0001   -0.62203719E+0001   -0.61677185E+0001   -0.61884250E+0001   -0.60904106E+0001   -0.11870899E+0002   -0.61148635E+0001   -0.61283887E+0001   -0.11784423E+0002   -0.61236715E+0001   -0.61272028E+0001   -0.61220436E+0001   -0.60211938E+0001   -0.57157853E+0001   -0.67772434E+0001   -0.42577778E+0001
   300   -0.75147789E+0001   -0.61433742E+0001   -0.53133005E+0001   -0.11180067E+0002   -0.62067537E+0001   -0.64166189E+0001   -0.61449261E+0001   -0.61284253E+0001   -0.11928174E+0002   -0.61715352E+0001   -0.60732978E+0001   -0.83489702E+0001   -0.89100977E+0001   -0.82491312E+0001   -0.89881180E+0001   -0.88826751E+0001   -0.88812920E+0001   -0.88720546E+0001   -0.88966661E+0001   -0.61641170E+0001   -0.61481053E+0001   -0.11757939E+0002   -0.11863096E+0002   -0.62034842E+0001   -0.62149277E+0001   -0.61695858E+0001   -0.61887926E+0001   -0.60902035E+0001   -0.11866496E+0002   -0.61091884E+0001   -0.61240241E+0001   -0.11792446E+0002   -0.61202378E+0001   -0.61251413E+0001   -0.61227097E+0001   -0.60178085E+0001   -0.57141426E+0001   -0.67776483E+0001   -0.42560265E+0001
   350   -0.75148661E+0001   -0.61448648E+0001   -0.53110220E+0001   -0.11178835E+0002   -0.62090064E+0001   -0.64148599E+0001   -0.61436011E+0001   -0.61307654E+0001   -0.11926828E+0002   -0.61737284E+0001   -0.60768757E+0001   -0.83502356E+0001   -0.89048490E+0001   -0.82488850E+0001   -0.89985450E+0001   -0.88841744E+0001   -0.88819033E+0001   -0.88734747E+0001   -0.88923406E+0001   -0.61619693E+0001   -0.61488660E+0001   -0.11764217E+0002   -0.11861292E+0002   -0.62017347E+0001   -0.62128975E+0001   -0.61714726E+0001   -0.61882893E+0001   -0.60923151E+0001   -0.11863906E+0002   -0.61095115E+0001   -0.61234887E+0001   -0.11796681E+0002   -0.61194269E+0001   -0.61219569E+0001   -0.61169893E+0001   -0.60167887E+0001   -0.57177027E+0001   -0.67752714E+0001   -0.42553397E+0001
   400   -0.75144063E+0001   -0.61440823E+0001   -0.53169198E+0001   -0.11173807E+0002   -0.62086923E+0001   -0.64183975E+0001   -0.61419750E+0001   -0.61315840E+0001   -0.11927705E+0002   -0.61745449E+0001   -0.60784899E+0001   -0.83517180E+0001   -0.89027421E+0001   -0.82434638E+0001   -0.89991663E+0001   -0.88846813E+0001   -0.88802346E+0001   -0.88712514E+0001   -0.88889589E+0001   -0.61617457E+0001   -0.61534263E+0001   -0.11758081E+0002   -0.11862563E+0002   -0.61985634E+0001   -0.62136453E+0001   -0.61753701E+0001   -0.61893078E+0001   -0.60923703E+0001   -0.11856059E+0002   -0.61067524E+0001   -0.61194230E+0001   -0.11803762E+0002   -0.61146498E+0001   -0.61175908E+0001   -0.61207109E+0001   -0.60140568E+0001   -0.57234575E+0001   -0.67721800E+0001   -0.42553108E+0001
   450   -0.75140394E+0001   -0.61406792E+0001   -0.53152442E+0001   -0.11181626E+0002   -0.62085080E+0001   -0.64242370E+0001   -0.61405202E+0001   -0.61283033E+0001   -0.11936040E+0002   -0.61739523E+0001   -0.60800975E+0001   -0.83469392E+0001   -0.89027874E+0001   -0.82434133E+0001   -0.89943804E+0001   -0.88773254E+0001   -0.88759135E+0001   -0.88665011E+0001   -0.88888926E+0001   -0.61649032E+0001   -0.61540739E+0001   -0.11750027E+0002   -0.11865787E+0002   -0.61985615E+0001   -0.62130647E+0001   -0.61714904E+0001   -0.61907507E+0001   -0.60960387E+0001   -0.11855152E+0002   -0.61063306E+0001   -0.61210285E+0001   -0.11800072E+0002   -0.61131199E+0001   -0.61231820E+0001   -0.61241414E+0001   -0.60117421E+0001   -0.57261620E+0001   -0.67687084E+0001   -0.42537996E+0001
