     1   -0.39239781E+0001   -0.39242667E+0001    0.12798615E+0001     12001
    50   -0.39233326E+0001   -0.39273778E+0001    0.11743220E+0001     12115
   100   -0.39236660E+0001   -0.39285588E+0001    0.11121990E+0001     12222
   150   -0.39248549E+0001   -0.39301193E+0001    0.11117551E+0001     12476
   200   -0.39262500E+0001   -0.39309615E+0001    0.10708810E+0001     12525
   250   -0.39274973E+0001   -0.39323556E+0001    0.94268667E+0000     12858
   300   -0.39287184E+0001   -0.39329702E+0001    0.96577701E+0000     13356
   350   -0.39300728E+0001   -0.39340878E+0001    0.86693500E+0000     13672
   400   -0.39312433E+0001   -0.39349057E+0001    0.82505450E+0000     13822
     1   -0.39239736E+0001   -0.39242561E+0001    0.12798615E+0001     11999
    50   -0.39231443E+0001   -0.39272542E+0001    0.11985732E+0001     11903
   100   -0.39233658E+0001   -0.39282294E+0001    0.11628443E+0001     12283
   150   -0.39241081E+0001   -0.39287980E+0001    0.10955244E+0001     12471
   200   -0.39252858E+0001   -0.39307146E+0001    0.98975322E+0000     12941
   250   -0.39265090E+0001   -0.39310758E+0001    0.98096809E+0000     13037
   300   -0.39279345E+0001   -0.39321506E+0001    0.92054001E+0000     13475
   350   -0.39293208E+0001   -0.39328421E+0001    0.87834552E+0000     13478
   400   -0.39301142E+0001   -0.39337993E+0001    0.83653597E+0000     14031
     1   -0.39239705E+0001   -0.39242627E+0001    0.12798615E+0001     11999
    50   -0.39229149E+0001   -0.39272120E+0001    0.11809539E+0001     12120
   100   -0.39229672E+0001   -0.39281801E+0001    0.11482129E+0001     12352
   150   -0.39240116E+0001   -0.39294932E+0001    0.10372519E+0001     12662
   200   -0.39253769E+0001   -0.39307331E+0001    0.10367669E+0001     12894
   250   -0.39266507E+0001   -0.39310410E+0001    0.96456523E+0000     13031
   300   -0.39275718E+0001   -0.39319496E+0001    0.92700147E+0000     13079
   350   -0.39287134E+0001   -0.39327747E+0001    0.88222007E+0000     13378
   400   -0.39299940E+0001   -0.39333376E+0001    0.81615981E+0000     13824
     1   -0.39239653E+0001   -0.39242591E+0001    0.12798615E+0001     11997
    50   -0.39227400E+0001   -0.39270483E+0001    0.11647995E+0001     12085
   100   -0.39225200E+0001   -0.39277523E+0001    0.11835597E+0001     12411
   150   -0.39233665E+0001   -0.39284764E+0001    0.11414692E+0001     12766
   200   -0.39244284E+0001   -0.39291197E+0001    0.10957143E+0001     13106
   250   -0.39255718E+0001   -0.39300091E+0001    0.10352730E+0001     13263
   300   -0.39265499E+0001   -0.39312829E+0001    0.10001147E+0001     13186
   350   -0.39272952E+0001   -0.39316720E+0001    0.99160832E+0000     13396
   400   -0.39281725E+0001   -0.39323833E+0001    0.93671415E+0000     13564
     1   -0.39239660E+0001   -0.39242779E+0001    0.12798615E+0001     11997
    50   -0.39225167E+0001   -0.39266291E+0001    0.12009365E+0001     11938
   100   -0.39220442E+0001   -0.39279963E+0001    0.11593027E+0001     12217
   150   -0.39226902E+0001   -0.39288701E+0001    0.11221257E+0001     12600
   200   -0.39238975E+0001   -0.39301132E+0001    0.10545100E+0001     12977
   250   -0.39254409E+0001   -0.39309600E+0001    0.10527210E+0001     13503
   300   -0.39267039E+0001   -0.39322820E+0001    0.98853410E+0000     13904
   350   -0.39278451E+0001   -0.39333053E+0001    0.92183920E+0000     14159
   400   -0.39292124E+0001   -0.39336819E+0001    0.88665028E+0000     14337
     1   -0.39239622E+0001   -0.39242671E+0001    0.12798615E+0001     12000
    50   -0.39224021E+0001   -0.39265503E+0001    0.12126442E+0001     12166
   100   -0.39218887E+0001   -0.39270703E+0001    0.11922295E+0001     12294
   150   -0.39223235E+0001   -0.39273155E+0001    0.11713775E+0001     12545
   200   -0.39225472E+0001   -0.39276762E+0001    0.11759902E+0001     12574
   250   -0.39227301E+0001   -0.39278194E+0001    0.11503962E+0001     12751
   300   -0.39232303E+0001   -0.39286646E+0001    0.11557606E+0001     13026
   350   -0.39239145E+0001   -0.39282938E+0001    0.11131204E+0001     12991
   400   -0.39243567E+0001   -0.39284414E+0001    0.10542211E+0001     13336
     1   -0.39239568E+0001   -0.39242888E+0001    0.12798615E+0001     12006
    50   -0.39222682E+0001   -0.39260708E+0001    0.12212848E+0001     11956
   100   -0.39215366E+0001   -0.39265030E+0001    0.12287999E+0001     12135
   150   -0.39215649E+0001   -0.39280909E+0001    0.11857052E+0001     12208
   200   -0.39218761E+0001   -0.39280776E+0001    0.11402475E+0001     12468
   250   -0.39229531E+0001   -0.39283290E+0001    0.11219664E+0001     12800
   300   -0.39244215E+0001   -0.39292883E+0001    0.10615034E+0001     13107
   350   -0.39252516E+0001   -0.39295575E+0001    0.10472799E+0001     13545
   400   -0.39258359E+0001   -0.39313660E+0001    0.10415724E+0001     13994
     1   -0.39239536E+0001   -0.39242885E+0001    0.12798615E+0001     12005
    50   -0.39221536E+0001   -0.39263584E+0001    0.12008832E+0001     12037
   100   -0.39212796E+0001   -0.39278522E+0001    0.12272183E+0001     12313
   150   -0.39213317E+0001   -0.39277947E+0001    0.11833503E+0001     12425
   200   -0.39223994E+0001   -0.39289724E+0001    0.11151634E+0001     12754
   250   -0.39243951E+0001   -0.39296699E+0001    0.10433595E+0001     13204
   300   -0.39259295E+0001   -0.39303059E+0001    0.99968418E+0000     13664
   350   -0.39263739E+0001   -0.39304780E+0001    0.96957244E+0000     13921
   400   -0.39266631E+0001   -0.39310602E+0001    0.98665251E+0000     14372
     1   -0.39239540E+0001   -0.39242811E+0001    0.12798615E+0001     11999
    50   -0.39219835E+0001   -0.39263550E+0001    0.12267999E+0001     11972
   100   -0.39209886E+0001   -0.39264730E+0001    0.12295979E+0001     12339
   150   -0.39210036E+0001   -0.39257384E+0001    0.12012012E+0001     12587
   200   -0.39208341E+0001   -0.39259857E+0001    0.12084090E+0001     12804
   250   -0.39206410E+0001   -0.39266476E+0001    0.11785074E+0001     13265
   300   -0.39210997E+0001   -0.39277977E+0001    0.11072728E+0001     13643
   350   -0.39233645E+0001   -0.39284569E+0001    0.10702011E+0001     14036
   400   -0.39243439E+0001   -0.39288916E+0001    0.10888959E+0001     14298
     1   -0.39239549E+0001   -0.39242863E+0001    0.12798615E+0001     12005
    50   -0.39218741E+0001   -0.39260973E+0001    0.12398714E+0001     12051
   100   -0.39206726E+0001   -0.39256551E+0001    0.12538751E+0001     11982
   150   -0.39201061E+0001   -0.39252914E+0001    0.12731702E+0001     12401
   200   -0.39201436E+0001   -0.39260197E+0001    0.12534782E+0001     12689
   250   -0.39209585E+0001   -0.39270196E+0001    0.11970564E+0001     13003
   300   -0.39219689E+0001   -0.39283235E+0001    0.11778952E+0001     13531
   350   -0.39228806E+0001   -0.39284228E+0001    0.10620058E+0001     14122
   400   -0.39242987E+0001   -0.39293478E+0001    0.10679585E+0001     14529
     1   -0.39239514E+0001   -0.39242724E+0001    0.12798615E+0001     12001
    50   -0.39217796E+0001   -0.39258636E+0001    0.12248706E+0001     12032
   100   -0.39203842E+0001   -0.39255128E+0001    0.12820126E+0001     12137
   150   -0.39196123E+0001   -0.39247196E+0001    0.12785774E+0001     12112
   200   -0.39193924E+0001   -0.39255811E+0001    0.12705901E+0001     12411
   250   -0.39190560E+0001   -0.39246771E+0001    0.12307931E+0001     12656
   300   -0.39191463E+0001   -0.39245729E+0001    0.12587110E+0001     13184
   350   -0.39188906E+0001   -0.39253512E+0001    0.12179035E+0001     13358
   400   -0.39184409E+0001   -0.39255896E+0001    0.12431594E+0001     13502
   450   -0.39180173E+0001   -0.39265528E+0001    0.12029326E+0001     14067
   500   -0.39181447E+0001   -0.39280081E+0001    0.11362662E+0001     14444
   550   -0.39221148E+0001   -0.39286058E+0001    0.10981371E+0001     14879
     1   -0.39239458E+0001   -0.39242788E+0001    0.12798615E+0001     12003
    50   -0.39217569E+0001   -0.39262726E+0001    0.12003423E+0001     12073
   100   -0.39203983E+0001   -0.39264030E+0001    0.11932166E+0001     12246
   150   -0.39198769E+0001   -0.39267441E+0001    0.12193958E+0001     12898
   200   -0.39197473E+0001   -0.39262467E+0001    0.11853626E+0001     12904
   250   -0.39204848E+0001   -0.39262609E+0001    0.11976662E+0001     13481
   300   -0.39204324E+0001   -0.39260875E+0001    0.11884701E+0001     14095
   350   -0.39200045E+0001   -0.39271175E+0001    0.12069278E+0001     14073
   400   -0.39195287E+0001   -0.39262498E+0001    0.11867936E+0001     14466
   450   -0.39197672E+0001   -0.39269939E+0001    0.11890737E+0001     14783
   500   -0.39198868E+0001   -0.39267781E+0001    0.11972527E+0001     15102
   550   -0.39197892E+0001   -0.39255698E+0001    0.11847168E+0001     15306
   600   -0.39199091E+0001   -0.39249374E+0001    0.12170567E+0001     15832
   650   -0.39196604E+0001   -0.39242623E+0001    0.12446354E+0001     16237
   700   -0.39189234E+0001   -0.39247511E+0001    0.11657624E+0001     16753
   750   -0.39189185E+0001   -0.39243992E+0001    0.11664373E+0001     17227
   800   -0.39194795E+0001   -0.39251227E+0001    0.11626578E+0001     17680
   850   -0.39195756E+0001   -0.39254663E+0001    0.11856384E+0001     18272
   900   -0.39194861E+0001   -0.39252140E+0001    0.11228310E+0001     18516
   950   -0.39196970E+0001   -0.39259736E+0001    0.11146072E+0001     19032
  1000   -0.39210097E+0001   -0.39260928E+0001    0.10766545E+0001     19911
  1050   -0.39214558E+0001   -0.39270378E+0001    0.10422063E+0001     20561
  1100   -0.39211905E+0001   -0.39273278E+0001    0.10424647E+0001     21126
  1150   -0.39216148E+0001   -0.39280428E+0001    0.10638719E+0001     22313
  1200   -0.39222704E+0001   -0.39278749E+0001    0.10761615E+0001     22634
  1250   -0.39225542E+0001   -0.39280160E+0001    0.10493142E+0001     23062
  1300   -0.39225533E+0001   -0.39276236E+0001    0.10733550E+0001     23696
  1350   -0.39223551E+0001   -0.39274101E+0001    0.10830918E+0001     24154
  1400   -0.39219229E+0001   -0.39274662E+0001    0.10608520E+0001     24792
  1450   -0.39217321E+0001   -0.39274664E+0001    0.10217025E+0001     25574
  1500   -0.39222347E+0001   -0.39276276E+0001    0.10621010E+0001     26322
  1550   -0.39225308E+0001   -0.39273413E+0001    0.10459501E+0001     26912
  1600   -0.39225380E+0001   -0.39278706E+0001    0.10274512E+0001     27740
  1601   -0.39226228E+0001   -0.39226228E+0001    0.11101498E+0001     12000
  1650   -0.39244669E+0001   -0.39276292E+0001    0.97673462E+0000     12046
  1700   -0.39234340E+0001   -0.39275744E+0001    0.99536781E+0000     12245
  1750   -0.39227772E+0001   -0.39275431E+0001    0.10437712E+0001     12443
  1800   -0.39224684E+0001   -0.39268154E+0001    0.10270694E+0001     12705
  1850   -0.39225472E+0001   -0.39273456E+0001    0.10242206E+0001     13140
  1900   -0.39227559E+0001   -0.39281844E+0001    0.97788199E+0000     13734
  1950   -0.39236307E+0001   -0.39287144E+0001    0.98077412E+0000     14029
  2000   -0.39245080E+0001   -0.39289196E+0001    0.97506220E+0000     14318
     1   -0.39239481E+0001   -0.39242678E+0001    0.12798615E+0001     11998
    50   -0.39217783E+0001   -0.39265060E+0001    0.12197190E+0001     12067
   100   -0.39204212E+0001   -0.39253788E+0001    0.12309119E+0001     12117
   150   -0.39198729E+0001   -0.39256661E+0001    0.12490690E+0001     12342
   200   -0.39196973E+0001   -0.39260661E+0001    0.12496803E+0001     12907
   250   -0.39199832E+0001   -0.39263147E+0001    0.12383007E+0001     13111
   300   -0.39199669E+0001   -0.39260196E+0001    0.11796594E+0001     13574
   350   -0.39203192E+0001   -0.39263813E+0001    0.12020557E+0001     14135
   400   -0.39205041E+0001   -0.39258703E+0001    0.12016634E+0001     14730
   450   -0.39205730E+0001   -0.39263010E+0001    0.12034972E+0001     15306
   500   -0.39206363E+0001   -0.39265791E+0001    0.10989316E+0001     15964
   550   -0.39218413E+0001   -0.39269350E+0001    0.11501064E+0001     16579
   600   -0.39221273E+0001   -0.39268712E+0001    0.11003965E+0001     17178
   650   -0.39220569E+0001   -0.39270367E+0001    0.11359834E+0001     17247
   700   -0.39221911E+0001   -0.39279277E+0001    0.10964473E+0001     17834
   750   -0.39228494E+0001   -0.39283043E+0001    0.10929501E+0001     18342
   800   -0.39239478E+0001   -0.39284497E+0001    0.10613271E+0001     19025
     1   -0.39239488E+0001   -0.39243036E+0001    0.12798615E+0001     11999
    50   -0.39217373E+0001   -0.39259264E+0001    0.12371362E+0001     12005
   100   -0.39203205E+0001   -0.39252667E+0001    0.12568045E+0001     12240
   150   -0.39196000E+0001   -0.39255837E+0001    0.12869765E+0001     12252
   200   -0.39191510E+0001   -0.39256952E+0001    0.12425117E+0001     12339
   250   -0.39191724E+0001   -0.39269525E+0001    0.12180639E+0001     12702
   300   -0.39212479E+0001   -0.39280682E+0001    0.11568511E+0001     13156
   350   -0.39224086E+0001   -0.39288621E+0001    0.11213068E+0001     13506
   400   -0.39231536E+0001   -0.39281959E+0001    0.11355060E+0001     13880
   450   -0.39232513E+0001   -0.39281180E+0001    0.11054451E+0001     14033
   500   -0.39236962E+0001   -0.39292786E+0001    0.10660853E+0001     14367
     1   -0.39239494E+0001   -0.39242927E+0001    0.12798615E+0001     12002
    50   -0.39216070E+0001   -0.39259137E+0001    0.12100628E+0001     12022
   100   -0.39200428E+0001   -0.39254278E+0001    0.12833342E+0001     12095
   150   -0.39190687E+0001   -0.39245115E+0001    0.12968118E+0001     12369
   200   -0.39185599E+0001   -0.39245376E+0001    0.12729938E+0001     12989
   250   -0.39184144E+0001   -0.39250015E+0001    0.12330365E+0001     13292
   300   -0.39190757E+0001   -0.39239010E+0001    0.12757686E+0001     13882
   350   -0.39192391E+0001   -0.39242861E+0001    0.13137252E+0001     14192
   400   -0.39185722E+0001   -0.39242621E+0001    0.12307415E+0001     14715
   450   -0.39184824E+0001   -0.39243572E+0001    0.12572363E+0001     15118
   500   -0.39186152E+0001   -0.39235471E+0001    0.12679784E+0001     15175
   550   -0.39180867E+0001   -0.39238211E+0001    0.12568072E+0001     15707
   600   -0.39173484E+0001   -0.39244880E+0001    0.12534196E+0001     16188
   650   -0.39170715E+0001   -0.39231537E+0001    0.12602242E+0001     16613
   700   -0.39163620E+0001   -0.39234069E+0001    0.12252571E+0001     17006
   750   -0.39154738E+0001   -0.39229834E+0001    0.12262888E+0001     17365
   800   -0.39152661E+0001   -0.39217101E+0001    0.12862003E+0001     17597
   850   -0.39150864E+0001   -0.39208565E+0001    0.12767487E+0001     18001
   900   -0.39142051E+0001   -0.39211356E+0001    0.12709494E+0001     18414
   950   -0.39139068E+0001   -0.39203093E+0001    0.13013060E+0001     18944
  1000   -0.39136544E+0001   -0.39205294E+0001    0.12922021E+0001     19539
  1050   -0.39130307E+0001   -0.39194052E+0001    0.12909653E+0001     20123
  1100   -0.39125159E+0001   -0.39185796E+0001    0.12880291E+0001     21085
  1150   -0.39121904E+0001   -0.39190677E+0001    0.13129689E+0001     21849
  1200   -0.39117838E+0001   -0.39174658E+0001    0.13211566E+0001     22583
  1250   -0.39111704E+0001   -0.39172007E+0001    0.12989654E+0001     22898
  1300   -0.39104332E+0001   -0.39182200E+0001    0.13121258E+0001     23859
  1350   -0.39095835E+0001   -0.39169561E+0001    0.13272788E+0001     24546
  1400   -0.39094531E+0001   -0.39177690E+0001    0.13260767E+0001     25333
  1450   -0.39091943E+0001   -0.39165075E+0001    0.13552971E+0001     25847
  1500   -0.39083721E+0001   -0.39148396E+0001    0.13873233E+0001     26559
  1550   -0.39068944E+0001   -0.39148333E+0001    0.14065941E+0001     27659
  1600   -0.39052354E+0001   -0.39126839E+0001    0.14353796E+0001     28293
  1601   -0.39053832E+0001   -0.39053832E+0001    0.14495544E+0001     12000
  1650   -0.39084850E+0001   -0.39134561E+0001    0.13478030E+0001     12029
  1700   -0.39062624E+0001   -0.39137541E+0001    0.13663209E+0001     12082
  1750   -0.39046499E+0001   -0.39115062E+0001    0.13749552E+0001     12413
  1800   -0.39035242E+0001   -0.39111075E+0001    0.14102638E+0001     12697
  1850   -0.39029777E+0001   -0.39111138E+0001    0.14256066E+0001     12968
  1900   -0.39020038E+0001   -0.39097519E+0001    0.14386424E+0001     13150
  1950   -0.39009058E+0001   -0.39089922E+0001    0.14523597E+0001     13657
  2000   -0.38998463E+0001   -0.39080811E+0001    0.14965045E+0001     14043
  2050   -0.38981705E+0001   -0.39067543E+0001    0.14916668E+0001     14670
  2100   -0.38965053E+0001   -0.39057554E+0001    0.14632424E+0001     14835
  2150   -0.38959306E+0001   -0.39055978E+0001    0.14839755E+0001     14810
  2200   -0.38964106E+0001   -0.39056923E+0001    0.15139015E+0001     15221
  2250   -0.38952703E+0001   -0.39040552E+0001    0.15382591E+0001     15459
  2300   -0.38933031E+0001   -0.39028154E+0001    0.15241713E+0001     16109
  2350   -0.38910151E+0001   -0.39038695E+0001    0.15493371E+0001     16455
  2400   -0.38892292E+0001   -0.39025421E+0001    0.15509395E+0001     16961
  2450   -0.38879189E+0001   -0.39011327E+0001    0.15329800E+0001     17529
  2500   -0.38865300E+0001   -0.39001872E+0001    0.15682250E+0001     17849
  2550   -0.38856719E+0001   -0.39000137E+0001    0.15324796E+0001     18282
  2600   -0.38848561E+0001   -0.38985995E+0001    0.15583595E+0001     18801
  2650   -0.38839236E+0001   -0.38965388E+0001    0.15708887E+0001     19237
  2700   -0.38826592E+0001   -0.38946340E+0001    0.16084067E+0001     19661
  2750   -0.38814215E+0001   -0.38936734E+0001    0.16262503E+0001     20306
  2800   -0.38792221E+0001   -0.38924440E+0001    0.16337719E+0001     20781
  2850   -0.38764255E+0001   -0.38897632E+0001    0.16472407E+0001     21312
  2900   -0.38727817E+0001   -0.38875653E+0001    0.16517318E+0001     21556
  2950   -0.38690047E+0001   -0.38854757E+0001    0.16416739E+0001     22484
  3000   -0.38654629E+0001   -0.38820444E+0001    0.16451079E+0001     22908
  3050   -0.38618381E+0001   -0.38784321E+0001    0.16526802E+0001     23649
  3100   -0.38581654E+0001   -0.38760761E+0001    0.16368321E+0001     24359
  3150   -0.38537824E+0001   -0.38729636E+0001    0.16332388E+0001     24913
  3200   -0.38492788E+0001   -0.38694922E+0001    0.16163484E+0001     25884
  3201   -0.38494685E+0001   -0.38494685E+0001    0.16192221E+0001     12000
  3250   -0.38534170E+0001   -0.38590593E+0001    0.16236898E+0001     12028
  3300   -0.38496179E+0001   -0.38570734E+0001    0.16284895E+0001     12124
  3350   -0.38457974E+0001   -0.38550136E+0001    0.16279804E+0001     12273
  3400   -0.38418754E+0001   -0.38527710E+0001    0.16113049E+0001     12644
  3450   -0.38378793E+0001   -0.38484360E+0001    0.16194985E+0001     12799
  3500   -0.38336576E+0001   -0.38449717E+0001    0.16012406E+0001     13293
  3550   -0.38294401E+0001   -0.38420554E+0001    0.15790285E+0001     13508
  3600   -0.38250238E+0001   -0.38402934E+0001    0.15727833E+0001     13754
  3650   -0.38206039E+0001   -0.38344929E+0001    0.15630613E+0001     13947
  3700   -0.38161039E+0001   -0.38326453E+0001    0.15528110E+0001     14058
  3750   -0.38118119E+0001   -0.38287268E+0001    0.15302092E+0001     14313
  3800   -0.38078313E+0001   -0.38251187E+0001    0.14890920E+0001     14740
  3850   -0.38041732E+0001   -0.38226296E+0001    0.14610038E+0001     14943
  3900   -0.38001761E+0001   -0.38181623E+0001    0.14514589E+0001     15146
  3950   -0.37953058E+0001   -0.38124686E+0001    0.14245896E+0001     15379
  4000   -0.37901817E+0001   -0.38068094E+0001    0.14136186E+0001     15891
  4050   -0.37855857E+0001   -0.38056824E+0001    0.13870959E+0001     16293
  4100   -0.37816977E+0001   -0.38000899E+0001    0.13703127E+0001     16437
  4150   -0.37785500E+0001   -0.37961311E+0001    0.13536675E+0001     16508
  4200   -0.37752427E+0001   -0.37874587E+0001    0.13271551E+0001     16828
  4250   -0.37721831E+0001   -0.37849619E+0001    0.13428409E+0001     17107
  4300   -0.37693388E+0001   -0.37817612E+0001    0.13055582E+0001     17672
  4350   -0.37665155E+0001   -0.37772533E+0001    0.12825430E+0001     18269
  4400   -0.37634985E+0001   -0.37757771E+0001    0.12596905E+0001     18711
  4450   -0.37602878E+0001   -0.37726167E+0001    0.12616170E+0001     19106
  4500   -0.37572682E+0001   -0.37698828E+0001    0.12355732E+0001     19200
  4550   -0.37546055E+0001   -0.37667533E+0001    0.12078746E+0001     19337
  4600   -0.37520989E+0001   -0.37648431E+0001    0.11824667E+0001     19554
  4650   -0.37497756E+0001   -0.37616572E+0001    0.11845226E+0001     20043
  4700   -0.37475147E+0001   -0.37596610E+0001    0.11662442E+0001     20796
  4750   -0.37453336E+0001   -0.37558603E+0001    0.11508931E+0001     21130
  4800   -0.37431797E+0001   -0.37517289E+0001    0.11364583E+0001     21805
  4801   -0.37432674E+0001   -0.37432674E+0001    0.11111454E+0001     12000
  4850   -0.37451513E+0001   -0.37491815E+0001    0.11131982E+0001     11950
  4900   -0.37434150E+0001   -0.37485035E+0001    0.11196015E+0001     12084
  4950   -0.37416910E+0001   -0.37470442E+0001    0.11176733E+0001     12364
  5000   -0.37399637E+0001   -0.37462614E+0001    0.11096614E+0001     12487
  5050   -0.37383321E+0001   -0.37467223E+0001    0.10822576E+0001     12855
  5100   -0.37367245E+0001   -0.37445477E+0001    0.10849402E+0001     13094
  5150   -0.37350432E+0001   -0.37427668E+0001    0.10677817E+0001     13483
  5200   -0.37332563E+0001   -0.37412242E+0001    0.10240681E+0001     13880
  5250   -0.37316306E+0001   -0.37395489E+0001    0.10032417E+0001     14359
  5300   -0.37300562E+0001   -0.37375957E+0001    0.99584449E+0000     14389
  5350   -0.37287633E+0001   -0.37367219E+0001    0.10161794E+0001     14606
  5400   -0.37274847E+0001   -0.37378573E+0001    0.97765843E+0000     14642
  5450   -0.37261082E+0001   -0.37347960E+0001    0.94124989E+0000     14921
  5500   -0.37246732E+0001   -0.37324644E+0001    0.95678058E+0000     15573
  5550   -0.37232749E+0001   -0.37326262E+0001    0.93473161E+0000     16092
  5600   -0.37219842E+0001   -0.37311589E+0001    0.92352467E+0000     16452
  5650   -0.37207655E+0001   -0.37298287E+0001    0.90016255E+0000     16854
  5700   -0.37194937E+0001   -0.37271212E+0001    0.85514001E+0000     17082
  5750   -0.37182300E+0001   -0.37265283E+0001    0.84880469E+0000     17090
  5800   -0.37172112E+0001   -0.37256729E+0001    0.84351260E+0000     17687
  5850   -0.37160220E+0001   -0.37249667E+0001    0.81694719E+0000     17877
  5900   -0.37147979E+0001   -0.37224515E+0001    0.82393617E+0000     18363
  5950   -0.37133879E+0001   -0.37210552E+0001    0.78586554E+0000     18848
  6000   -0.37120991E+0001   -0.37203183E+0001    0.76848282E+0000     19158
  6050   -0.37110412E+0001   -0.37194411E+0001    0.78607752E+0000     19455
  6100   -0.37100432E+0001   -0.37196836E+0001    0.76035181E+0000     19754
  6150   -0.37093268E+0001   -0.37191444E+0001    0.76136948E+0000     20169
  6200   -0.37087561E+0001   -0.37171066E+0001    0.70720971E+0000     20513
  6250   -0.37079559E+0001   -0.37169919E+0001    0.73083995E+0000     20720
  6300   -0.37070716E+0001   -0.37153180E+0001    0.70777125E+0000     21202
  6350   -0.37062507E+0001   -0.37149951E+0001    0.68276930E+0000     21569
  6400   -0.37053865E+0001   -0.37127324E+0001    0.68238635E+0000     22074
  6401   -0.37054144E+0001   -0.37054144E+0001    0.63208506E+0000     12000
  6450   -0.37060319E+0001   -0.37079924E+0001    0.63943162E+0000     12056
  6500   -0.37055002E+0001   -0.37082284E+0001    0.63303700E+0000     12094
  6550   -0.37049551E+0001   -0.37079851E+0001    0.63927866E+0000     12219
  6600   -0.37043936E+0001   -0.37083554E+0001    0.65742198E+0000     12568
  6650   -0.37037370E+0001   -0.37074321E+0001    0.61839023E+0000     12847
  6700   -0.37030456E+0001   -0.37075019E+0001    0.57391295E+0000     13265
  6750   -0.37022249E+0001   -0.37072274E+0001    0.60523198E+0000     13571
  6800   -0.37014801E+0001   -0.37067483E+0001    0.61007002E+0000     13689
  6850   -0.37007026E+0001   -0.37061875E+0001    0.59365522E+0000     13923
  6900   -0.36997995E+0001   -0.37052023E+0001    0.58290326E+0000     14095
  6950   -0.36990679E+0001   -0.37050766E+0001    0.55369826E+0000     14393
  7000   -0.36984533E+0001   -0.37038632E+0001    0.55432245E+0000     14504
  7050   -0.36978429E+0001   -0.37041425E+0001    0.50924204E+0000     15009
  7100   -0.36973128E+0001   -0.37019665E+0001    0.47504937E+0000     15265
  7150   -0.36968214E+0001   -0.37015417E+0001    0.51882105E+0000     15303
  7200   -0.36963484E+0001   -0.37022825E+0001    0.53614829E+0000     15574
  7250   -0.36958906E+0001   -0.36994778E+0001    0.51161232E+0000     15760
  7300   -0.36954639E+0001   -0.36994982E+0001    0.49601016E+0000     16203
  7350   -0.36950959E+0001   -0.36991366E+0001    0.50098674E+0000     16580
  7400   -0.36947609E+0001   -0.36989759E+0001    0.47675508E+0000     16861
  7450   -0.36944764E+0001   -0.36976628E+0001    0.49916799E+0000     16952
  7500   -0.36941673E+0001   -0.36969531E+0001    0.49329009E+0000     17291
  7550   -0.36938689E+0001   -0.36968587E+0001    0.45537276E+0000     17665
  7600   -0.36936299E+0001   -0.36966221E+0001    0.42448019E+0000     17889
