     1   -0.71312471E+0001   -0.54814749E+0001   -0.61981968E+0001   -0.11649550E+0002   -0.55599163E+0001   -0.44999348E+0001   -0.65886503E+0001   -0.52055818E+0001   -0.10511984E+0002   -0.61276082E+0001   -0.60649746E+0001   -0.82218733E+0001   -0.81033963E+0001   -0.86848863E+0001   -0.88337542E+0001   -0.75208046E+0001   -0.84044407E+0001   -0.76839861E+0001   -0.91020332E+0001   -0.53894575E+0001   -0.62860172E+0001
   200   -0.71305377E+0001   -0.54820347E+0001   -0.62019720E+0001   -0.11663829E+0002   -0.55892728E+0001   -0.44892503E+0001   -0.65862199E+0001   -0.52124624E+0001   -0.10510476E+0002   -0.61283028E+0001   -0.60630191E+0001   -0.82224033E+0001   -0.81071158E+0001   -0.86774794E+0001   -0.88196204E+0001   -0.75191103E+0001   -0.84132464E+0001   -0.76659854E+0001   -0.90914391E+0001   -0.53914979E+0001   -0.62961079E+0001
   400   -0.71289473E+0001   -0.54768835E+0001   -0.62179968E+0001   -0.11666115E+0002   -0.55941776E+0001   -0.45008656E+0001   -0.65971541E+0001   -0.52157876E+0001   -0.10522426E+0002   -0.61307426E+0001   -0.60659006E+0001   -0.82007798E+0001   -0.81035628E+0001   -0.86637870E+0001   -0.88244192E+0001   -0.75171294E+0001   -0.84088539E+0001   -0.76436009E+0001   -0.90767134E+0001   -0.53845927E+0001   -0.62884422E+0001
   600   -0.71279874E+0001   -0.55000970E+0001   -0.62069292E+0001   -0.11655884E+0002   -0.55757616E+0001   -0.45128762E+0001   -0.66028041E+0001   -0.52198709E+0001   -0.10526972E+0002   -0.61498384E+0001   -0.60713396E+0001   -0.82352578E+0001   -0.81253905E+0001   -0.86500295E+0001   -0.88408066E+0001   -0.75302155E+0001   -0.84083034E+0001   -0.76250790E+0001   -0.90671307E+0001   -0.53625267E+0001   -0.62777175E+0001
   800   -0.71271368E+0001   -0.54971401E+0001   -0.62135395E+0001   -0.11681413E+0002   -0.55767580E+0001   -0.44908317E+0001   -0.66114746E+0001   -0.52096122E+0001   -0.10523340E+0002   -0.61491578E+0001   -0.60733220E+0001   -0.82242836E+0001   -0.81110095E+0001   -0.86578825E+0001   -0.88324947E+0001   -0.75207944E+0001   -0.84087013E+0001   -0.76146101E+0001   -0.90937713E+0001   -0.53701478E+0001   -0.62733500E+0001
  1000   -0.71276527E+0001   -0.54738232E+0001   -0.62172544E+0001   -0.11657616E+0002   -0.55699005E+0001   -0.44997259E+0001   -0.66123888E+0001   -0.52086599E+0001   -0.10509607E+0002   -0.61424992E+0001   -0.60710667E+0001   -0.82166208E+0001   -0.80985568E+0001   -0.86856191E+0001   -0.88489162E+0001   -0.75230694E+0001   -0.84131718E+0001   -0.76297245E+0001   -0.90636118E+0001   -0.53622804E+0001   -0.62622103E+0001
  1200   -0.71274940E+0001   -0.54777141E+0001   -0.62174773E+0001   -0.11637051E+0002   -0.55531251E+0001   -0.44796542E+0001   -0.65946882E+0001   -0.52139479E+0001   -0.10508649E+0002   -0.61526503E+0001   -0.60672125E+0001   -0.82191296E+0001   -0.81005320E+0001   -0.86907049E+0001   -0.88720606E+0001   -0.75189808E+0001   -0.84119377E+0001   -0.76476842E+0001   -0.90755631E+0001   -0.53525398E+0001   -0.62432922E+0001
  1400   -0.71267354E+0001   -0.54606063E+0001   -0.61750384E+0001   -0.11663146E+0002   -0.55912939E+0001   -0.44958886E+0001   -0.65808319E+0001   -0.52176305E+0001   -0.10489825E+0002   -0.61514326E+0001   -0.60605251E+0001   -0.81846257E+0001   -0.80822357E+0001   -0.87041257E+0001   -0.88308253E+0001   -0.75608664E+0001   -0.83962640E+0001   -0.76110692E+0001   -0.90619381E+0001   -0.53141455E+0001   -0.62829707E+0001
  1600   -0.71256433E+0001   -0.54518613E+0001   -0.61722810E+0001   -0.11634010E+0002   -0.56198588E+0001   -0.44797873E+0001   -0.65824775E+0001   -0.52126013E+0001   -0.10532325E+0002   -0.61490586E+0001   -0.60663735E+0001   -0.81854073E+0001   -0.80796728E+0001   -0.87116721E+0001   -0.88130944E+0001   -0.75740354E+0001   -0.83960218E+0001   -0.75838092E+0001   -0.90600877E+0001   -0.53144684E+0001   -0.62827595E+0001
  1800   -0.71219916E+0001   -0.54392034E+0001   -0.61615387E+0001   -0.11644877E+0002   -0.55940453E+0001   -0.44867188E+0001   -0.66169327E+0001   -0.51934797E+0001   -0.10527050E+0002   -0.61564520E+0001   -0.60724817E+0001   -0.81856271E+0001   -0.80813277E+0001   -0.87253903E+0001   -0.88229198E+0001   -0.75640438E+0001   -0.84272898E+0001   -0.75512437E+0001   -0.90334081E+0001   -0.53147962E+0001   -0.62860356E+0001
  2000   -0.71232573E+0001   -0.54650706E+0001   -0.61187660E+0001   -0.11668043E+0002   -0.56294775E+0001   -0.45007853E+0001   -0.66313109E+0001   -0.51946239E+0001   -0.10472405E+0002   -0.61582975E+0001   -0.60732564E+0001   -0.81527184E+0001   -0.80744946E+0001   -0.87555822E+0001   -0.87949677E+0001   -0.75796871E+0001   -0.84403096E+0001   -0.75346169E+0001   -0.90588837E+0001   -0.53212757E+0001   -0.62882685E+0001
  2200   -0.71221356E+0001   -0.54730183E+0001   -0.61102570E+0001   -0.11662372E+0002   -0.55998427E+0001   -0.44920037E+0001   -0.66391440E+0001   -0.51932002E+0001   -0.10495059E+0002   -0.61527949E+0001   -0.60669939E+0001   -0.81519399E+0001   -0.80638789E+0001   -0.87461158E+0001   -0.88262493E+0001   -0.75803620E+0001   -0.84562173E+0001   -0.75271338E+0001   -0.90604738E+0001   -0.53309201E+0001   -0.62723920E+0001
