     1   -0.75087441E+0001   -0.60007743E+0001   -0.60292728E+0001   -0.11866333E+0002   -0.60236047E+0001   -0.59382324E+0001   -0.60854238E+0001   -0.59782241E+0001   -0.11682832E+0002   -0.59590802E+0001   -0.59988634E+0001   -0.87769972E+0001   -0.87872201E+0001   -0.87562756E+0001   -0.87646211E+0001   -0.87650974E+0001   -0.87903066E+0001   -0.87652302E+0001   -0.87911264E+0001   -0.60206465E+0001   -0.60267416E+0001
   200   -0.75083107E+0001   -0.60031031E+0001   -0.60230477E+0001   -0.11884198E+0002   -0.60191623E+0001   -0.59358833E+0001   -0.60812804E+0001   -0.59707828E+0001   -0.11711465E+0002   -0.59569048E+0001   -0.60022878E+0001   -0.87695272E+0001   -0.87805257E+0001   -0.87390459E+0001   -0.87674473E+0001   -0.87633846E+0001   -0.87835114E+0001   -0.87552288E+0001   -0.87828742E+0001   -0.60208575E+0001   -0.60254773E+0001
   400   -0.75086354E+0001   -0.60098936E+0001   -0.60257116E+0001   -0.11865877E+0002   -0.60151736E+0001   -0.59363669E+0001   -0.60842337E+0001   -0.59671414E+0001   -0.11718789E+0002   -0.59538301E+0001   -0.60066021E+0001   -0.87745650E+0001   -0.87845137E+0001   -0.87580502E+0001   -0.87746683E+0001   -0.87738246E+0001   -0.87849629E+0001   -0.87395653E+0001   -0.87777184E+0001   -0.60212871E+0001   -0.60165067E+0001
   600   -0.75076281E+0001   -0.59931068E+0001   -0.60169724E+0001   -0.11862394E+0002   -0.60138821E+0001   -0.59419882E+0001   -0.60781292E+0001   -0.59591979E+0001   -0.11716564E+0002   -0.59580353E+0001   -0.60083990E+0001   -0.87789919E+0001   -0.87822418E+0001   -0.87573148E+0001   -0.87706906E+0001   -0.87841612E+0001   -0.87860746E+0001   -0.87448239E+0001   -0.87803685E+0001   -0.60273467E+0001   -0.60186303E+0001
   800   -0.75081898E+0001   -0.60025368E+0001   -0.60167058E+0001   -0.11870288E+0002   -0.60180342E+0001   -0.59421295E+0001   -0.60817552E+0001   -0.59630703E+0001   -0.11698103E+0002   -0.59657934E+0001   -0.60071102E+0001   -0.87805425E+0001   -0.87878337E+0001   -0.87618988E+0001   -0.87638964E+0001   -0.87780774E+0001   -0.87961477E+0001   -0.87439361E+0001   -0.87878864E+0001   -0.60159318E+0001   -0.60199186E+0001
  1000   -0.75079365E+0001   -0.60046776E+0001   -0.60220328E+0001   -0.11879047E+0002   -0.60246307E+0001   -0.59526803E+0001   -0.60793114E+0001   -0.59764349E+0001   -0.11709246E+0002   -0.59547152E+0001   -0.60193146E+0001   -0.87797266E+0001   -0.87904220E+0001   -0.87417142E+0001   -0.87642727E+0001   -0.87738740E+0001   -0.88020959E+0001   -0.87398798E+0001   -0.87773285E+0001   -0.60193300E+0001   -0.60198978E+0001
  1200   -0.75078848E+0001   -0.60022132E+0001   -0.60297320E+0001   -0.11888115E+0002   -0.60232110E+0001   -0.59435680E+0001   -0.60819582E+0001   -0.59702979E+0001   -0.11706406E+0002   -0.59686095E+0001   -0.60168947E+0001   -0.87823144E+0001   -0.87900263E+0001   -0.87388627E+0001   -0.87705987E+0001   -0.87691574E+0001   -0.88045054E+0001   -0.87313007E+0001   -0.87834995E+0001   -0.60159579E+0001   -0.60176450E+0001
  1400   -0.75078587E+0001   -0.60031869E+0001   -0.60229810E+0001   -0.11878148E+0002   -0.60241672E+0001   -0.59443472E+0001   -0.60549642E+0001   -0.59676576E+0001   -0.11689009E+0002   -0.59574506E+0001   -0.60214232E+0001   -0.87874222E+0001   -0.87850413E+0001   -0.87499164E+0001   -0.87820419E+0001   -0.87673438E+0001   -0.87975379E+0001   -0.87554074E+0001   -0.87805289E+0001   -0.60155778E+0001   -0.60224335E+0001
     1   -0.75087393E+0001   -0.60007876E+0001   -0.60292886E+0001   -0.11866365E+0002   -0.60235929E+0001   -0.59382188E+0001   -0.60854391E+0001   -0.59782189E+0001   -0.11682706E+0002   -0.59590946E+0001   -0.59988616E+0001   -0.87769612E+0001   -0.87872259E+0001   -0.87562572E+0001   -0.87646216E+0001   -0.87650731E+0001   -0.87903414E+0001   -0.87652081E+0001   -0.87911734E+0001   -0.60206259E+0001   -0.60267623E+0001
   200   -0.75089995E+0001   -0.59981478E+0001   -0.60264436E+0001   -0.11873557E+0002   -0.60202800E+0001   -0.59342452E+0001   -0.60800598E+0001   -0.59734992E+0001   -0.11674293E+0002   -0.59505678E+0001   -0.59990294E+0001   -0.87835733E+0001   -0.87841527E+0001   -0.87591895E+0001   -0.87679283E+0001   -0.87690536E+0001   -0.87973698E+0001   -0.87718580E+0001   -0.87894943E+0001   -0.60249820E+0001   -0.60268282E+0001
   400   -0.75081995E+0001   -0.60006405E+0001   -0.60215603E+0001   -0.11874233E+0002   -0.60181391E+0001   -0.59420405E+0001   -0.60852180E+0001   -0.59679867E+0001   -0.11659190E+0002   -0.59582782E+0001   -0.59987591E+0001   -0.87742953E+0001   -0.87857999E+0001   -0.87645678E+0001   -0.87588623E+0001   -0.87874425E+0001   -0.87890740E+0001   -0.87669387E+0001   -0.87979811E+0001   -0.60258881E+0001   -0.60242446E+0001
   600   -0.75066102E+0001   -0.59956425E+0001   -0.60253311E+0001   -0.11863576E+0002   -0.60264899E+0001   -0.59453830E+0001   -0.60790384E+0001   -0.59773827E+0001   -0.11647204E+0002   -0.59649889E+0001   -0.59986003E+0001   -0.87773972E+0001   -0.87902149E+0001   -0.87650866E+0001   -0.87463641E+0001   -0.87757699E+0001   -0.87887079E+0001   -0.87543413E+0001   -0.87974654E+0001   -0.60239632E+0001   -0.60335007E+0001
   800   -0.75058036E+0001   -0.59940858E+0001   -0.60227535E+0001   -0.11861575E+0002   -0.60268921E+0001   -0.59338045E+0001   -0.60801415E+0001   -0.59769993E+0001   -0.11644451E+0002   -0.59579695E+0001   -0.60116669E+0001   -0.87701790E+0001   -0.87800740E+0001   -0.87724673E+0001   -0.87623907E+0001   -0.87623543E+0001   -0.87908160E+0001   -0.87581282E+0001   -0.87945658E+0001   -0.60231320E+0001   -0.60374237E+0001
  1000   -0.75046417E+0001   -0.60002177E+0001   -0.60289559E+0001   -0.11869397E+0002   -0.60267069E+0001   -0.59308448E+0001   -0.60767476E+0001   -0.59782035E+0001   -0.11601556E+0002   -0.59484364E+0001   -0.60157819E+0001   -0.87773633E+0001   -0.87841722E+0001   -0.87637951E+0001   -0.87651712E+0001   -0.87597073E+0001   -0.88073813E+0001   -0.87500552E+0001   -0.87909128E+0001   -0.60172022E+0001   -0.60344483E+0001
  1200   -0.75038768E+0001   -0.60001023E+0001   -0.60319721E+0001   -0.11854209E+0002   -0.60284057E+0001   -0.59245670E+0001   -0.60852525E+0001   -0.59769263E+0001   -0.11601593E+0002   -0.59541061E+0001   -0.60106922E+0001   -0.87652876E+0001   -0.87807962E+0001   -0.87734227E+0001   -0.87583756E+0001   -0.87595682E+0001   -0.87956179E+0001   -0.87611116E+0001   -0.88102628E+0001   -0.60181606E+0001   -0.60368708E+0001
  1400   -0.75032599E+0001   -0.60036281E+0001   -0.60232527E+0001   -0.11862876E+0002   -0.60339348E+0001   -0.59181242E+0001   -0.60864345E+0001   -0.59815598E+0001   -0.11613872E+0002   -0.59500463E+0001   -0.60184808E+0001   -0.87598618E+0001   -0.87790810E+0001   -0.87721715E+0001   -0.87623056E+0001   -0.87516296E+0001   -0.87977872E+0001   -0.87647612E+0001   -0.87866514E+0001   -0.60157258E+0001   -0.60270255E+0001
  1600   -0.75033385E+0001   -0.59961556E+0001   -0.60226815E+0001   -0.11868196E+0002   -0.60297982E+0001   -0.59227728E+0001   -0.60869214E+0001   -0.59769585E+0001   -0.11618373E+0002   -0.59639165E+0001   -0.60163254E+0001   -0.87744323E+0001   -0.87849932E+0001   -0.87631066E+0001   -0.87463344E+0001   -0.87379640E+0001   -0.87910218E+0001   -0.87699706E+0001   -0.87945882E+0001   -0.60112963E+0001   -0.60280080E+0001
  1800   -0.75022600E+0001   -0.59900832E+0001   -0.60221214E+0001   -0.11854906E+0002   -0.60232363E+0001   -0.59282746E+0001   -0.60870402E+0001   -0.59605296E+0001   -0.11629690E+0002   -0.59653802E+0001   -0.60115071E+0001   -0.87830510E+0001   -0.87841751E+0001   -0.87651200E+0001   -0.87490793E+0001   -0.87507800E+0001   -0.87748834E+0001   -0.87789268E+0001   -0.87906303E+0001   -0.60113051E+0001   -0.60311828E+0001
  2000   -0.75028102E+0001   -0.59936675E+0001   -0.60282436E+0001   -0.11844346E+0002   -0.60236827E+0001   -0.59305779E+0001   -0.60852938E+0001   -0.59745038E+0001   -0.11616314E+0002   -0.59579986E+0001   -0.60086795E+0001   -0.87783011E+0001   -0.87904404E+0001   -0.87689131E+0001   -0.87593330E+0001   -0.87560630E+0001   -0.87849281E+0001   -0.87654551E+0001   -0.88085289E+0001   -0.60085043E+0001   -0.60319378E+0001
  2200   -0.75032319E+0001   -0.59911174E+0001   -0.60282025E+0001   -0.11849832E+0002   -0.60268509E+0001   -0.59333915E+0001   -0.60844449E+0001   -0.59779368E+0001   -0.11602978E+0002   -0.59544260E+0001   -0.60020705E+0001   -0.87801794E+0001   -0.87886646E+0001   -0.87725653E+0001   -0.87566992E+0001   -0.87590676E+0001   -0.87919830E+0001   -0.87591106E+0001   -0.88127374E+0001   -0.60177604E+0001   -0.60356434E+0001
  2400   -0.75029176E+0001   -0.59948120E+0001   -0.60249962E+0001   -0.11853795E+0002   -0.60300481E+0001   -0.59379078E+0001   -0.60830352E+0001   -0.59817097E+0001   -0.11575887E+0002   -0.59538465E+0001   -0.60027736E+0001   -0.87832650E+0001   -0.87878101E+0001   -0.87698002E+0001   -0.87470413E+0001   -0.87635314E+0001   -0.87938593E+0001   -0.87778545E+0001   -0.88149688E+0001   -0.60153123E+0001   -0.60335627E+0001
