      0.33855830      0.84117355     -0.49875348
     -1.33141886      0.68286632     -0.23688543
      0.87915204     -0.89582617      0.19958410
     -0.73833704     -0.69336115      0.00258521
      0.33327746      1.83151643     -0.00794553
      1.37184151      0.90191276     -0.97673234
     -1.96758137      1.42996444     -1.32936250
     -1.00968017      1.70029473     -0.97585039
      1.41645104     -1.22925453      1.07860178
      1.56857168     -1.19868515     -0.61475417
     -1.04232315     -0.56079217      1.75171523
     -0.65111962     -1.80224061     -0.09832954
