1 143 -3.6868709 -2.7902636 -3.533169 -3.5333124 1 1 0 0 0
2 412 -3.6868909 -2.792769 -3.5329529 -3.5330818 1 0 0 0 0
3 523 -3.6868841 -2.7889025 -3.5338235 -3.5339688 1 1 0 0 0
4 134 -3.587689 -2.7613599 -2.9101303 -2.9106359 1 1 1 0 0
5 321 -3.4136827 -2.809061 -2.8388292 -2.8439708 1 0 0 0 0
6 254 -3.6868747 -2.79081 -3.533196 -3.5332046 1 1 0 0 0
7 412 -3.6868875 -2.7920442 -3.5331722 -3.5331939 1 1 0 0 0
8 453 -3.3910257 -2.1525621 -2.6991473 -2.9453704 1 0 0 1 0
9 143 -3.6868675 -2.7908248 -3.5343519 -3.5343911 1 1 0 0 0
10 254 -3.6868717 -2.7913089 -3.5331443 -3.5334063 1 1 0 0 0
11 312 -3.5859401 -2.7359682 -2.8961836 -3.1939703 1 1 0 1 0
12 134 -3.5876943 -2.7600832 -2.9158954 -2.916733 1 1 0 0 0
13 243 -3.5860663 -2.7612502 -2.8288686 -3.0415059 1 0 0 0 0
14 134 -3.686904 -2.7871594 -3.5338384 -3.5340222 0 1 0 0 0
15 421 -3.6868744 -2.7912608 -3.5327513 -3.5328371 1 1 0 0 0
16 312 -3.5859447 -2.7366683 -2.894931 -3.1915486 1 1 0 1 0
17 523 -3.3727344 -2.8850843 -2.9915059 -3.0127562 1 1 1 1 0
18 254 -3.6868823 -2.7883509 -3.5335862 -3.5336897 1 1 0 0 0
19 215 -3.4488426 -2.7199878 -2.8647726 -3.0000203 1 0 1 1 0
20 523 -3.6868705 -2.7903331 -3.5337855 -3.5338399 1 1 0 0 0
21 532 -3.6868702 -2.7932198 -3.531531 -3.5318983 1 0 0 0 0
22 523 -3.686878 -2.7911523 -3.5336086 -3.5336175 1 1 0 0 0
23 354 -3.5859391 -2.7355684 -2.8948545 -3.1943063 1 0 0 1 0
24 134 -3.6868792 -2.7917703 -3.5328987 -3.5331079 1 0 0 0 0
25 514 -3.0580178 -2.1074067 -2.1118896 -3.0898126 1 0 0 0 0
26 451 -3.4488051 -2.7198106 -2.8648296 -3.0040007 1 0 1 1 0
27 351 -3.6868811 -2.7918379 -3.5329246 -3.5331472 1 1 0 0 0
28 412 -3.6868724 -2.7905828 -3.5330675 -3.5331105 1 1 0 0 0
29 423 -3.5860245 -2.7388602 -2.8935492 -3.1816626 1 0 0 1 0
30 345 -3.34637 -2.7759228 -2.7769048 -3.0338288 1 0 1 0 0
31 412 -3.6868771 -2.7907909 -3.5333269 -3.5334477 1 1 0 0 0
32 234 -3.3437807 -2.7796408 -2.7807619 -3.0370231 1 0 1 1 0
34 143 -3.6868667 -2.7900354 -3.5333327 -3.5337976 1 1 0 0 0
35 432 -3.4490381 -2.7217742 -2.8615147 -3.0019281 1 0 1 1 0
36 523 -3.6868814 -2.7917871 -3.5325443 -3.5326143 1 0 0 0 0
37 415 -3.5868105 -2.7539802 -2.8347587 -3.0684642 1 0 0 1 0
38 521 -3.5859472 -2.7368435 -2.8984641 -3.1932148 1 1 0 0 0
39 235 -3.4985659 -2.9913456 -2.9979079 -3.507907 1 1 0 0 0
40 412 -3.6868818 -2.7917895 -3.5329125 -3.5329487 1 0 0 0 0
41 543 -3.0543685 -2.1143562 -2.118393 -3.0802947 1 0 1 1 0
42 134 -3.6868797 -2.7914732 -3.5328966 -3.5329353 1 1 0 0 0
43 143 -3.6868708 -2.7908205 -3.5330366 -3.5332237 1 1 0 0 0
44 351 -3.6868763 -2.789804 -3.5337014 -3.5338195 1 1 0 0 0
45 134 -3.5876967 -2.7600992 -2.916683 -2.9167588 1 1 0 0 0
46 351 -3.6868756 -2.7902796 -3.5334287 -3.5334453 1 1 0 0 0
