     1   -0.39199749E+0001   -0.35033800E+0001   -0.34886288E+0001   -0.34980397E+0001   -0.35131859E+0001   -0.34926311E+0001   -0.49815364E+0001   -0.49624222E+0001
    50   -0.39192353E+0001   -0.35027913E+0001   -0.34876544E+0001   -0.34974326E+0001   -0.35130085E+0001   -0.34916556E+0001   -0.49809985E+0001   -0.49611061E+0001
   100   -0.39191142E+0001   -0.35023908E+0001   -0.34880829E+0001   -0.34977224E+0001   -0.35124110E+0001   -0.34919384E+0001   -0.49801615E+0001   -0.49610923E+0001
   150   -0.39190317E+0001   -0.35020811E+0001   -0.34884315E+0001   -0.34978567E+0001   -0.35118996E+0001   -0.34923131E+0001   -0.49797866E+0001   -0.49608536E+0001
   200   -0.39193745E+0001   -0.35017683E+0001   -0.34889307E+0001   -0.34980568E+0001   -0.35122162E+0001   -0.34926875E+0001   -0.49790250E+0001   -0.49629368E+0001
   250   -0.39197881E+0001   -0.35017542E+0001   -0.34896907E+0001   -0.34992450E+0001   -0.35123088E+0001   -0.34926743E+0001   -0.49786722E+0001   -0.49641716E+0001
   300   -0.39201371E+0001   -0.35016887E+0001   -0.34900593E+0001   -0.34998152E+0001   -0.35121413E+0001   -0.34931395E+0001   -0.49791240E+0001   -0.49649921E+0001
   350   -0.39201634E+0001   -0.35010897E+0001   -0.34901121E+0001   -0.35003854E+0001   -0.35123712E+0001   -0.34937901E+0001   -0.49784826E+0001   -0.49649127E+0001
   400   -0.39200966E+0001   -0.35004634E+0001   -0.34906155E+0001   -0.35012638E+0001   -0.35125977E+0001   -0.34939696E+0001   -0.49780146E+0001   -0.49637519E+0001
     1   -0.39199698E+0001   -0.35033759E+0001   -0.34886240E+0001   -0.34980316E+0001   -0.35131849E+0001   -0.34926190E+0001   -0.49815405E+0001   -0.49624128E+0001
    50   -0.39190023E+0001   -0.35026822E+0001   -0.34871994E+0001   -0.34971165E+0001   -0.35129742E+0001   -0.34913526E+0001   -0.49809718E+0001   -0.49607195E+0001
   100   -0.39189158E+0001   -0.35021117E+0001   -0.34874490E+0001   -0.34972717E+0001   -0.35127795E+0001   -0.34914506E+0001   -0.49806029E+0001   -0.49607452E+0001
   150   -0.39188302E+0001   -0.35009633E+0001   -0.34872534E+0001   -0.34979288E+0001   -0.35123351E+0001   -0.34929480E+0001   -0.49779716E+0001   -0.49624109E+0001
   200   -0.39186164E+0001   -0.34991444E+0001   -0.34871506E+0001   -0.34982249E+0001   -0.35119761E+0001   -0.34944040E+0001   -0.49754591E+0001   -0.49639555E+0001
   250   -0.39182125E+0001   -0.34988796E+0001   -0.34870582E+0001   -0.34983984E+0001   -0.35118120E+0001   -0.34947701E+0001   -0.49740663E+0001   -0.49625028E+0001
   300   -0.39178186E+0001   -0.34988958E+0001   -0.34868093E+0001   -0.34981425E+0001   -0.35116886E+0001   -0.34947977E+0001   -0.49727591E+0001   -0.49616372E+0001
   350   -0.39176039E+0001   -0.34987469E+0001   -0.34866417E+0001   -0.34979064E+0001   -0.35116488E+0001   -0.34953252E+0001   -0.49726663E+0001   -0.49602921E+0001
   400   -0.39172983E+0001   -0.34979510E+0001   -0.34872913E+0001   -0.34980288E+0001   -0.35116703E+0001   -0.34948058E+0001   -0.49723292E+0001   -0.49590116E+0001
   450   -0.39171293E+0001   -0.34972475E+0001   -0.34877321E+0001   -0.34983503E+0001   -0.35115372E+0001   -0.34943485E+0001   -0.49722471E+0001   -0.49584423E+0001
   500   -0.39169032E+0001   -0.34981448E+0001   -0.34876933E+0001   -0.34979705E+0001   -0.35114843E+0001   -0.34935479E+0001   -0.49727801E+0001   -0.49567011E+0001
   550   -0.39166255E+0001   -0.34986112E+0001   -0.34873138E+0001   -0.34971943E+0001   -0.35110804E+0001   -0.34932656E+0001   -0.49732040E+0001   -0.49557093E+0001
   600   -0.39165076E+0001   -0.34983409E+0001   -0.34875271E+0001   -0.34965289E+0001   -0.35109782E+0001   -0.34932999E+0001   -0.49735289E+0001   -0.49553494E+0001
   650   -0.39163275E+0001   -0.34977334E+0001   -0.34879770E+0001   -0.34966034E+0001   -0.35108573E+0001   -0.34932077E+0001   -0.49731041E+0001   -0.49548096E+0001
   700   -0.39160048E+0001   -0.34972783E+0001   -0.34885866E+0001   -0.34963525E+0001   -0.35105888E+0001   -0.34926108E+0001   -0.49727034E+0001   -0.49539134E+0001
   750   -0.39158187E+0001   -0.34961657E+0001   -0.34889014E+0001   -0.34976149E+0001   -0.35114650E+0001   -0.34936809E+0001   -0.49700824E+0001   -0.49528204E+0001
   800   -0.39153353E+0001   -0.34950342E+0001   -0.34880371E+0001   -0.34983478E+0001   -0.35120383E+0001   -0.34947707E+0001   -0.49673179E+0001   -0.49518009E+0001
   850   -0.39149612E+0001   -0.34942013E+0001   -0.34883548E+0001   -0.34983987E+0001   -0.35122336E+0001   -0.34943861E+0001   -0.49660779E+0001   -0.49510760E+0001
   900   -0.39145987E+0001   -0.34932539E+0001   -0.34874060E+0001   -0.34988284E+0001   -0.35117194E+0001   -0.34943195E+0001   -0.49646604E+0001   -0.49520031E+0001
   950   -0.39144764E+0001   -0.34918926E+0001   -0.34883343E+0001   -0.35006509E+0001   -0.35114812E+0001   -0.34944570E+0001   -0.49618864E+0001   -0.49526325E+0001
  1000   -0.39141399E+0001   -0.34910363E+0001   -0.34893112E+0001   -0.35013092E+0001   -0.35114694E+0001   -0.34944722E+0001   -0.49595456E+0001   -0.49518352E+0001
  1050   -0.39139213E+0001   -0.34909188E+0001   -0.34905820E+0001   -0.35009819E+0001   -0.35109311E+0001   -0.34942997E+0001   -0.49591544E+0001   -0.49505812E+0001
  1100   -0.39135049E+0001   -0.34905376E+0001   -0.34908797E+0001   -0.35009958E+0001   -0.35105682E+0001   -0.34934400E+0001   -0.49585489E+0001   -0.49495644E+0001
  1150   -0.39130250E+0001   -0.34895706E+0001   -0.34902710E+0001   -0.35010072E+0001   -0.35100926E+0001   -0.34931012E+0001   -0.49577991E+0001   -0.49493334E+0001
  1200   -0.39128773E+0001   -0.34872754E+0001   -0.34892786E+0001   -0.35017639E+0001   -0.35105729E+0001   -0.34944759E+0001   -0.49565406E+0001   -0.49502335E+0001
  1250   -0.39129787E+0001   -0.34863969E+0001   -0.34901753E+0001   -0.35028859E+0001   -0.35119173E+0001   -0.34950300E+0001   -0.49540547E+0001   -0.49503906E+0001
  1300   -0.39128401E+0001   -0.34863601E+0001   -0.34915057E+0001   -0.35031629E+0001   -0.35123893E+0001   -0.34936034E+0001   -0.49523640E+0001   -0.49504948E+0001
  1350   -0.39122985E+0001   -0.34856117E+0001   -0.34915237E+0001   -0.35028388E+0001   -0.35121472E+0001   -0.34928990E+0001   -0.49516880E+0001   -0.49493810E+0001
  1400   -0.39118802E+0001   -0.34846059E+0001   -0.34923763E+0001   -0.35023565E+0001   -0.35117021E+0001   -0.34925442E+0001   -0.49506956E+0001   -0.49488811E+0001
  1450   -0.39118554E+0001   -0.34848939E+0001   -0.34935279E+0001   -0.35018278E+0001   -0.35109025E+0001   -0.34931070E+0001   -0.49492235E+0001   -0.49495053E+0001
  1500   -0.39114128E+0001   -0.34845425E+0001   -0.34934785E+0001   -0.35015530E+0001   -0.35108596E+0001   -0.34927500E+0001   -0.49479852E+0001   -0.49487208E+0001
  1550   -0.39109255E+0001   -0.34837077E+0001   -0.34927750E+0001   -0.35016103E+0001   -0.35105476E+0001   -0.34926220E+0001   -0.49474145E+0001   -0.49478015E+0001
  1600   -0.39107927E+0001   -0.34838361E+0001   -0.34923907E+0001   -0.35021901E+0001   -0.35097119E+0001   -0.34920694E+0001   -0.49475022E+0001   -0.49478486E+0001
  1650   -0.39104304E+0001   -0.34835505E+0001   -0.34928648E+0001   -0.35023919E+0001   -0.35093860E+0001   -0.34910453E+0001   -0.49473487E+0001   -0.49464258E+0001
  1700   -0.39101182E+0001   -0.34831343E+0001   -0.34931575E+0001   -0.35023236E+0001   -0.35091973E+0001   -0.34905102E+0001   -0.49467108E+0001   -0.49457939E+0001
  1750   -0.39098845E+0001   -0.34835829E+0001   -0.34929627E+0001   -0.35018166E+0001   -0.35082605E+0001   -0.34904749E+0001   -0.49466435E+0001   -0.49454502E+0001
  1800   -0.39095274E+0001   -0.34836265E+0001   -0.34928704E+0001   -0.35015218E+0001   -0.35075941E+0001   -0.34895084E+0001   -0.49470682E+0001   -0.49445026E+0001
  1850   -0.39092850E+0001   -0.34833772E+0001   -0.34931723E+0001   -0.35014393E+0001   -0.35070457E+0001   -0.34893749E+0001   -0.49470337E+0001   -0.49435516E+0001
  1900   -0.39089638E+0001   -0.34829252E+0001   -0.34927912E+0001   -0.35015239E+0001   -0.35061674E+0001   -0.34899599E+0001   -0.49447979E+0001   -0.49445815E+0001
