     1   -0.56799883E+0001   -0.53661561E+0001   -0.53812303E+0001   -0.53758337E+0001   -0.53889958E+0001   -0.53503909E+0001   -0.53728160E+0001   -0.94532431E+0001   -0.53959827E+0001   -0.53709891E+0001   -0.53754322E+0001   -0.53223381E+0001   -0.53218219E+0001   -0.53646178E+0001
   100   -0.56795483E+0001   -0.53649612E+0001   -0.53812746E+0001   -0.53759861E+0001   -0.53885360E+0001   -0.53486049E+0001   -0.53720413E+0001   -0.94561209E+0001   -0.53958797E+0001   -0.53710955E+0001   -0.53749421E+0001   -0.53208156E+0001   -0.53202467E+0001   -0.53636227E+0001
   200   -0.56807168E+0001   -0.53662895E+0001   -0.53812397E+0001   -0.53749486E+0001   -0.53897665E+0001   -0.53525513E+0001   -0.53727529E+0001   -0.94532615E+0001   -0.53940045E+0001   -0.53710754E+0001   -0.53768511E+0001   -0.53266695E+0001   -0.53255955E+0001   -0.53643128E+0001
   300   -0.56834074E+0001   -0.53685424E+0001   -0.53838379E+0001   -0.53802087E+0001   -0.53922643E+0001   -0.53551146E+0001   -0.53783597E+0001   -0.94453428E+0001   -0.53914361E+0001   -0.53738763E+0001   -0.53799779E+0001   -0.53363683E+0001   -0.53348097E+0001   -0.53641578E+0001
   400   -0.56857572E+0001   -0.53691925E+0001   -0.53853494E+0001   -0.53860546E+0001   -0.53956516E+0001   -0.53601488E+0001   -0.53823248E+0001   -0.94433932E+0001   -0.53814467E+0001   -0.53775044E+0001   -0.53885969E+0001   -0.53451952E+0001   -0.53361905E+0001   -0.53637956E+0001
     1   -0.56799799E+0001   -0.53661747E+0001   -0.53812410E+0001   -0.53758480E+0001   -0.53890054E+0001   -0.53503789E+0001   -0.53728291E+0001   -0.94530811E+0001   -0.53960037E+0001   -0.53709988E+0001   -0.53754376E+0001   -0.53223134E+0001   -0.53218219E+0001   -0.53646053E+0001
   100   -0.56790991E+0001   -0.53640821E+0001   -0.53805976E+0001   -0.53753608E+0001   -0.53890681E+0001   -0.53480812E+0001   -0.53716746E+0001   -0.94559258E+0001   -0.53958275E+0001   -0.53707226E+0001   -0.53749805E+0001   -0.53199358E+0001   -0.53185314E+0001   -0.53634999E+0001
   200   -0.56789493E+0001   -0.53638932E+0001   -0.53806409E+0001   -0.53752906E+0001   -0.53888985E+0001   -0.53449058E+0001   -0.53701211E+0001   -0.94520277E+0001   -0.53982741E+0001   -0.53718712E+0001   -0.53743789E+0001   -0.53212297E+0001   -0.53205189E+0001   -0.53642903E+0001
   300   -0.56780222E+0001   -0.53640146E+0001   -0.53810095E+0001   -0.53763244E+0001   -0.53874416E+0001   -0.53448914E+0001   -0.53709141E+0001   -0.94665569E+0001   -0.53950301E+0001   -0.53696184E+0001   -0.53702283E+0001   -0.53145048E+0001   -0.53160312E+0001   -0.53577239E+0001
   400   -0.56770351E+0001   -0.53663219E+0001   -0.53817878E+0001   -0.53732416E+0001   -0.53882253E+0001   -0.53475643E+0001   -0.53734739E+0001   -0.94606978E+0001   -0.53957294E+0001   -0.53659116E+0001   -0.53664929E+0001   -0.53129287E+0001   -0.53162957E+0001   -0.53527851E+0001
   500   -0.56764722E+0001   -0.53670235E+0001   -0.53823975E+0001   -0.53746515E+0001   -0.53874770E+0001   -0.53458125E+0001   -0.53725693E+0001   -0.94539365E+0001   -0.53975295E+0001   -0.53683805E+0001   -0.53667736E+0001   -0.53112784E+0001   -0.53161885E+0001   -0.53501202E+0001
   600   -0.56751821E+0001   -0.53629768E+0001   -0.53874626E+0001   -0.53837443E+0001   -0.53857391E+0001   -0.53361283E+0001   -0.53690740E+0001   -0.94568845E+0001   -0.53985900E+0001   -0.53757341E+0001   -0.53707211E+0001   -0.53001667E+0001   -0.53020550E+0001   -0.53480910E+0001
   700   -0.56751296E+0001   -0.53577662E+0001   -0.53866088E+0001   -0.53864446E+0001   -0.53875689E+0001   -0.53327953E+0001   -0.53654746E+0001   -0.94633027E+0001   -0.53973852E+0001   -0.53780055E+0001   -0.53741957E+0001   -0.53001298E+0001   -0.52977653E+0001   -0.53492428E+0001
   800   -0.56759553E+0001   -0.53543029E+0001   -0.53848257E+0001   -0.53805834E+0001   -0.53888463E+0001   -0.53341527E+0001   -0.53662100E+0001   -0.94705009E+0001   -0.53962379E+0001   -0.53745733E+0001   -0.53710262E+0001   -0.53104109E+0001   -0.53067559E+0001   -0.53489931E+0001
   900   -0.56765861E+0001   -0.53560563E+0001   -0.53924898E+0001   -0.53912301E+0001   -0.53881832E+0001   -0.53356902E+0001   -0.53694137E+0001   -0.94581281E+0001   -0.53958058E+0001   -0.53872136E+0001   -0.53802695E+0001   -0.52979781E+0001   -0.52914374E+0001   -0.53517231E+0001
  1000   -0.56767663E+0001   -0.53570493E+0001   -0.53933117E+0001   -0.53904492E+0001   -0.53860503E+0001   -0.53368750E+0001   -0.53711640E+0001   -0.94612528E+0001   -0.53952638E+0001   -0.53844499E+0001   -0.53768581E+0001   -0.52990525E+0001   -0.52929591E+0001   -0.53532268E+0001
  1100   -0.56763924E+0001   -0.53560092E+0001   -0.53914183E+0001   -0.53901637E+0001   -0.53868150E+0001   -0.53360355E+0001   -0.53698931E+0001   -0.94672832E+0001   -0.53945274E+0001   -0.53853695E+0001   -0.53765151E+0001   -0.52963018E+0001   -0.52920508E+0001   -0.53507191E+0001
  1200   -0.56768579E+0001   -0.53578587E+0001   -0.53846887E+0001   -0.53881435E+0001   -0.53886685E+0001   -0.53395554E+0001   -0.53672407E+0001   -0.94653735E+0001   -0.53919909E+0001   -0.53821265E+0001   -0.53789073E+0001   -0.53031621E+0001   -0.53004085E+0001   -0.53510277E+0001
  1300   -0.56770427E+0001   -0.53609605E+0001   -0.53775375E+0001   -0.53815299E+0001   -0.53862380E+0001   -0.53421448E+0001   -0.53638887E+0001   -0.94660134E+0001   -0.53944887E+0001   -0.53804816E+0001   -0.53773664E+0001   -0.53064546E+0001   -0.53092978E+0001   -0.53551531E+0001
  1400   -0.56766762E+0001   -0.53595867E+0001   -0.53811955E+0001   -0.53784672E+0001   -0.53844862E+0001   -0.53402412E+0001   -0.53648230E+0001   -0.94640981E+0001   -0.53952176E+0001   -0.53791827E+0001   -0.53769324E+0001   -0.53057984E+0001   -0.53080359E+0001   -0.53587258E+0001
