     1   -0.39199718E+0001   -0.34723143E+0001   -0.35105267E+0001   -0.35197279E+0001   -0.34889091E+0001   -0.34744135E+0001   -0.49951932E+0001   -0.49787176E+0001
    50   -0.39191282E+0001   -0.34704184E+0001   -0.35103019E+0001   -0.35197083E+0001   -0.34878556E+0001   -0.34725559E+0001   -0.49951831E+0001   -0.49778740E+0001
   100   -0.39190928E+0001   -0.34701914E+0001   -0.35103055E+0001   -0.35193719E+0001   -0.34883153E+0001   -0.34724112E+0001   -0.49951428E+0001   -0.49779115E+0001
   150   -0.39193617E+0001   -0.34702103E+0001   -0.35101685E+0001   -0.35187877E+0001   -0.34901118E+0001   -0.34722151E+0001   -0.49955379E+0001   -0.49785007E+0001
   200   -0.39195919E+0001   -0.34706813E+0001   -0.35099767E+0001   -0.35185325E+0001   -0.34908444E+0001   -0.34727502E+0001   -0.49959993E+0001   -0.49783585E+0001
   250   -0.39198592E+0001   -0.34716803E+0001   -0.35099228E+0001   -0.35186309E+0001   -0.34907239E+0001   -0.34736230E+0001   -0.49964718E+0001   -0.49779615E+0001
   300   -0.39198770E+0001   -0.34720438E+0001   -0.35099867E+0001   -0.35184560E+0001   -0.34906543E+0001   -0.34736576E+0001   -0.49966367E+0001   -0.49777041E+0001
   350   -0.39198353E+0001   -0.34718435E+0001   -0.35102793E+0001   -0.35183642E+0001   -0.34911238E+0001   -0.34732044E+0001   -0.49964198E+0001   -0.49776126E+0001
   400   -0.39197985E+0001   -0.34718788E+0001   -0.35101992E+0001   -0.35181164E+0001   -0.34913769E+0001   -0.34734690E+0001   -0.49959361E+0001   -0.49776130E+0001
   450   -0.39196473E+0001   -0.34725687E+0001   -0.35102112E+0001   -0.35181873E+0001   -0.34908593E+0001   -0.34738038E+0001   -0.49955405E+0001   -0.49763603E+0001
   500   -0.39194744E+0001   -0.34727310E+0001   -0.35102330E+0001   -0.35182496E+0001   -0.34902908E+0001   -0.34740075E+0001   -0.49951315E+0001   -0.49756775E+0001
   550   -0.39197483E+0001   -0.34744522E+0001   -0.35105938E+0001   -0.35182776E+0001   -0.34896798E+0001   -0.34766089E+0001   -0.49942214E+0001   -0.49744040E+0001
   600   -0.39198181E+0001   -0.34752329E+0001   -0.35108379E+0001   -0.35181310E+0001   -0.34892275E+0001   -0.34774997E+0001   -0.49940552E+0001   -0.49737426E+0001
     1   -0.39199683E+0001   -0.34723051E+0001   -0.35105246E+0001   -0.35197288E+0001   -0.34889066E+0001   -0.34744025E+0001   -0.49951990E+0001   -0.49787117E+0001
    50   -0.39188099E+0001   -0.34697150E+0001   -0.35102328E+0001   -0.35197630E+0001   -0.34873763E+0001   -0.34718598E+0001   -0.49951723E+0001   -0.49775501E+0001
   100   -0.39182732E+0001   -0.34687343E+0001   -0.35101953E+0001   -0.35196648E+0001   -0.34870884E+0001   -0.34707004E+0001   -0.49950499E+0001   -0.49764791E+0001
   150   -0.39181627E+0001   -0.34682832E+0001   -0.35103819E+0001   -0.35191735E+0001   -0.34881563E+0001   -0.34700667E+0001   -0.49949892E+0001   -0.49760883E+0001
   200   -0.39178786E+0001   -0.34676610E+0001   -0.35105648E+0001   -0.35189939E+0001   -0.34887234E+0001   -0.34689872E+0001   -0.49947246E+0001   -0.49754950E+0001
   250   -0.39177639E+0001   -0.34673761E+0001   -0.35106931E+0001   -0.35183924E+0001   -0.34892608E+0001   -0.34694513E+0001   -0.49936234E+0001   -0.49755502E+0001
   300   -0.39176656E+0001   -0.34665499E+0001   -0.35105780E+0001   -0.35176585E+0001   -0.34899840E+0001   -0.34690408E+0001   -0.49933512E+0001   -0.49764970E+0001
   350   -0.39173165E+0001   -0.34665140E+0001   -0.35104142E+0001   -0.35177801E+0001   -0.34893953E+0001   -0.34681289E+0001   -0.49943486E+0001   -0.49746344E+0001
   400   -0.39172998E+0001   -0.34672963E+0001   -0.35103109E+0001   -0.35185786E+0001   -0.34887279E+0001   -0.34685644E+0001   -0.49944051E+0001   -0.49732154E+0001
   450   -0.39170572E+0001   -0.34667230E+0001   -0.35102559E+0001   -0.35185449E+0001   -0.34888977E+0001   -0.34670900E+0001   -0.49948904E+0001   -0.49729988E+0001
   500   -0.39171443E+0001   -0.34665082E+0001   -0.35098372E+0001   -0.35181855E+0001   -0.34900322E+0001   -0.34669266E+0001   -0.49952492E+0001   -0.49732714E+0001
   550   -0.39168617E+0001   -0.34656063E+0001   -0.35096976E+0001   -0.35179844E+0001   -0.34894937E+0001   -0.34668000E+0001   -0.49949499E+0001   -0.49735002E+0001
   600   -0.39164532E+0001   -0.34650066E+0001   -0.35098007E+0001   -0.35179267E+0001   -0.34884944E+0001   -0.34667899E+0001   -0.49941941E+0001   -0.49729601E+0001
   650   -0.39158495E+0001   -0.34639371E+0001   -0.35095285E+0001   -0.35179245E+0001   -0.34875285E+0001   -0.34656282E+0001   -0.49944551E+0001   -0.49719448E+0001
