 54001   -0.53412556E+0001   -0.53417924E+0001   -0.48908686E+0001   -0.48779431E+0001   -0.48865281E+0001   -0.48845211E+0001   -0.48781926E+0001   -0.99172686E+0001   -0.48821365E+0001   -0.48884863E+0001   -0.53425608E+0001   -0.48786303E+0001   -0.48812351E+0001   -0.48861598E+0001
 54100   -0.53396338E+0001   -0.53413498E+0001   -0.48918615E+0001   -0.48776392E+0001   -0.48849170E+0001   -0.48886425E+0001   -0.48744154E+0001   -0.99162982E+0001   -0.48777372E+0001   -0.48795153E+0001   -0.53410429E+0001   -0.48785553E+0001   -0.48810800E+0001   -0.48821848E+0001
 54200   -0.53394570E+0001   -0.53424791E+0001   -0.48954836E+0001   -0.48771829E+0001   -0.48805690E+0001   -0.48791245E+0001   -0.48775723E+0001   -0.99160855E+0001   -0.48770926E+0001   -0.48899501E+0001   -0.53357657E+0001   -0.48774076E+0001   -0.48819464E+0001   -0.48822818E+0001
 54300   -0.53398466E+0001   -0.53480867E+0001   -0.48776229E+0001   -0.48810440E+0001   -0.48774878E+0001   -0.48772056E+0001   -0.48785623E+0001   -0.99158405E+0001   -0.48798827E+0001   -0.48861979E+0001   -0.53380341E+0001   -0.48836686E+0001   -0.48848081E+0001   -0.48895646E+0001
 54400   -0.53385111E+0001   -0.53417241E+0001   -0.48832760E+0001   -0.48745312E+0001   -0.48788160E+0001   -0.48959779E+0001   -0.48816704E+0001   -0.98852602E+0001   -0.48759733E+0001   -0.48819280E+0001   -0.53331936E+0001   -0.48943880E+0001   -0.48864580E+0001   -0.48874475E+0001
 54500   -0.53390200E+0001   -0.53398295E+0001   -0.48831658E+0001   -0.48816024E+0001   -0.48815677E+0001   -0.48747349E+0001   -0.48820964E+0001   -0.99162498E+0001   -0.48755796E+0001   -0.48856643E+0001   -0.53329805E+0001   -0.48930141E+0001   -0.48787210E+0001   -0.48820538E+0001
 54600   -0.53386585E+0001   -0.53308161E+0001   -0.48913887E+0001   -0.48828624E+0001   -0.48809319E+0001   -0.48809906E+0001   -0.48896164E+0001   -0.99038652E+0001   -0.48778588E+0001   -0.48908359E+0001   -0.53308461E+0001   -0.48808507E+0001   -0.48774282E+0001   -0.48842692E+0001
 54700   -0.53389640E+0001   -0.53442299E+0001   -0.48822533E+0001   -0.48847288E+0001   -0.48675218E+0001   -0.48727390E+0001   -0.48818466E+0001   -0.99215815E+0001   -0.48822705E+0001   -0.48931338E+0001   -0.53400675E+0001   -0.48807655E+0001   -0.48845806E+0001   -0.48708136E+0001
 54800   -0.53380385E+0001   -0.53358692E+0001   -0.48843982E+0001   -0.48864419E+0001   -0.48918407E+0001   -0.48742319E+0001   -0.48889135E+0001   -0.98853999E+0001   -0.48782086E+0001   -0.48884800E+0001   -0.53475454E+0001   -0.48655864E+0001   -0.48857549E+0001   -0.48818301E+0001
 54900   -0.53391516E+0001   -0.53386398E+0001   -0.49014480E+0001   -0.48730182E+0001   -0.48818547E+0001   -0.48797579E+0001   -0.48687917E+0001   -0.99073601E+0001   -0.48736534E+0001   -0.48960483E+0001   -0.53419886E+0001   -0.48725197E+0001   -0.48886561E+0001   -0.48852349E+0001
 55000   -0.53383451E+0001   -0.53391785E+0001   -0.48940706E+0001   -0.48705337E+0001   -0.48833320E+0001   -0.48767048E+0001   -0.48738208E+0001   -0.99051306E+0001   -0.48736023E+0001   -0.49023826E+0001   -0.53385350E+0001   -0.48797010E+0001   -0.48847833E+0001   -0.48767110E+0001
 55100   -0.53392249E+0001   -0.53417172E+0001   -0.48882322E+0001   -0.48871194E+0001   -0.48840981E+0001   -0.48747774E+0001   -0.48815005E+0001   -0.99210703E+0001   -0.48719339E+0001   -0.48912456E+0001   -0.53369922E+0001   -0.48801785E+0001   -0.48790299E+0001   -0.48720282E+0001
 55200   -0.53384565E+0001   -0.53395413E+0001   -0.48830653E+0001   -0.48859393E+0001   -0.48775340E+0001   -0.48713236E+0001   -0.48802328E+0001   -0.99038352E+0001   -0.48820643E+0001   -0.48850741E+0001   -0.53412928E+0001   -0.48765814E+0001   -0.48899238E+0001   -0.48835268E+0001
 55300   -0.53392869E+0001   -0.53429166E+0001   -0.48790365E+0001   -0.48913385E+0001   -0.48714663E+0001   -0.48814189E+0001   -0.48776252E+0001   -0.99022527E+0001   -0.48926534E+0001   -0.48892955E+0001   -0.53378898E+0001   -0.48718316E+0001   -0.48931373E+0001   -0.48798677E+0001
 55400   -0.53388630E+0001   -0.53328034E+0001   -0.48715459E+0001   -0.48900931E+0001   -0.48715582E+0001   -0.48820860E+0001   -0.48935598E+0001   -0.99048821E+0001   -0.48931088E+0001   -0.48812877E+0001   -0.53393830E+0001   -0.48823303E+0001   -0.48861639E+0001   -0.48764163E+0001
 55500   -0.53385784E+0001   -0.53277849E+0001   -0.48877657E+0001   -0.48838125E+0001   -0.48720097E+0001   -0.48838480E+0001   -0.48980269E+0001   -0.98818889E+0001   -0.48865294E+0001   -0.48778398E+0001   -0.53353469E+0001   -0.48917591E+0001   -0.48934285E+0001   -0.48814792E+0001
 55600   -0.53400331E+0001   -0.53400609E+0001   -0.48750979E+0001   -0.48723560E+0001   -0.48805816E+0001   -0.48882399E+0001   -0.48847633E+0001   -0.98859203E+0001   -0.48846673E+0001   -0.48889890E+0001   -0.53387900E+0001   -0.48927068E+0001   -0.48929668E+0001   -0.48952903E+0001
 55700   -0.53390801E+0001   -0.53472661E+0001   -0.48910121E+0001   -0.48857367E+0001   -0.48807900E+0001   -0.48657680E+0001   -0.48774199E+0001   -0.99120868E+0001   -0.48793279E+0001   -0.48805013E+0001   -0.53469510E+0001   -0.48755153E+0001   -0.48870268E+0001   -0.48786389E+0001
 55800   -0.53387530E+0001   -0.53258565E+0001   -0.48828005E+0001   -0.48788858E+0001   -0.48932652E+0001   -0.48922521E+0001   -0.48682189E+0001   -0.98975518E+0001   -0.48862568E+0001   -0.48858008E+0001   -0.53464409E+0001   -0.48820255E+0001   -0.48936724E+0001   -0.48707614E+0001
