         1     -1.28603685      3.31720412     -0.15227806
         1      1.94417195      1.64857889      0.92206061
         1      3.08624367     -1.58250106     -0.62485823
         1     -0.26480185     -3.15018649      0.29530401
         1     -3.78379669      0.64684607     -1.14213085
         1     -1.42201675      0.09070111      1.81274662
         1     -0.13941486      0.00500276     -1.71494554
         1      1.64607098      3.19989029     -2.54584286
         1      2.75330635     -0.04418004     -4.09512262
         1      1.00237809     -3.30766762     -3.27577380
         1     -2.66088609     -2.61574919     -2.62866760
         1     -1.88803559      2.57673219     -3.81790754
         1     -0.79049775     -0.68288203     -5.33857703
